0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,13,13,13,13,13,13,13,13,13,14,0,0,0,0,12,13,13,13,13,13,13,13,13,13,14,0,0
0,0,24,29,29,29,29,29,29,29,29,29,40,14,43,43,12,39,17,17,17,17,17,17,17,17,17,26,0,0
0,0,24,29,29,29,29,29,29,29,29,29,25,26,43,43,24,25,17,17,17,17,17,17,17,17,17,26,0,0
0,0,24,29,29,29,29,29,29,29,29,29,25,26,43,43,24,25,17,17,17,17,17,17,17,17,17,26,0,0
0,0,24,29,29,29,29,29,29,29,29,29,25,26,43,43,24,25,17,17,17,17,17,17,17,17,17,26,0,0
0,0,24,29,29,29,29,29,29,29,29,29,25,26,43,43,24,25,17,17,17,17,17,17,17,17,17,26,0,0
0,0,24,29,29,29,29,29,29,29,29,29,25,26,43,43,24,25,17,17,17,17,17,17,17,17,17,26,0,0
0,0,24,25,25,25,25,25,25,25,25,25,25,26,43,43,24,25,25,25,25,25,25,25,25,25,25,26,0,0
0,0,24,25,25,25,25,25,25,25,25,25,25,26,43,43,24,25,25,25,25,25,25,25,25,25,25,26,0,0
0,0,24,17,17,17,17,17,17,17,17,17,25,26,43,43,24,25,29,29,29,29,29,29,29,29,29,26,0,0
0,0,24,17,17,17,17,17,17,17,17,17,25,26,43,43,24,25,29,29,29,29,29,29,29,29,29,26,0,0
0,0,24,17,17,17,17,17,17,17,17,17,25,26,43,43,24,25,29,29,29,29,29,29,29,29,29,26,0,0
0,0,24,17,17,17,17,17,17,17,17,17,25,26,43,43,24,25,29,29,29,29,29,29,29,29,29,26,0,0
0,0,24,17,17,17,17,17,17,17,17,17,25,26,43,43,24,25,29,29,29,29,29,29,29,29,29,26,0,0
0,0,24,17,17,17,17,17,17,17,17,17,41,38,43,43,36,42,29,29,29,29,29,29,29,29,29,26,0,0
0,0,36,37,37,37,37,37,37,37,37,37,38,0,0,0,0,36,37,37,37,37,37,37,37,37,37,38,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
